,Unnamed: 0,coIndx,category,city,region,coNm,title,career,education,contract,r_date,coID,salary,addr
588,588,38410579,데이터분석,서울,강동구,(주)제이와이피엔터테인먼트,JYP엔터테인먼트2020년3분기공개채용,경력무관,학력무관,정규직,0719,2298109576,"4,153",서울 강동구 강동대로 205
589,589,38415249,데이터분석,서울,강남구,(주)시몬스,하반기각부문신입및경력모집,경력무관,학력무관,정규직계약직,0719,1268124808,"4,454",경기 이천시 사실로 1000
590,590,38377332,데이터분석,광주,서구,(주)유탑엔지니어링건축사사무소,[유탑그룹]관리/건설/호텔직원채용공고,경력무관,학력무관,정규직,0709,4098114831,"4,957",전남 화순군 자치샘로 21-5
591,591,38347521,데이터분석,서울,금천구,(주)하미글로벌,[㈜하미글로벌]하반기각부문신입/경력정규직채용,경력무관,고졸,정규직,0731,1048637079,"3,646","서울 금천구 가산디지털1로 131, C동 12층"
592,592,38395639,데이터분석,서울,강남구,현대오토에버(주),현대오토에버경력사원대규모상시채용,경력3년,학력무관,정규직,0831,1048153190,"6,307",서울 강남구 테헤란로 510
593,593,38265950,데이터분석,서울,강남구,주식회사 아이애드원,블로그/sns/페이스북/바이럴마케팅-기획및관리경력직채용,경력2년,초대졸,정규직,0804,1018649275,"4,203","서울 강남구 강남대로94길 18, 5층"
594,594,38351169,데이터분석,서울,강동구,(주)도도커뮤니케이션,"암사광고기획,바이럴,SNS마케팅,퍼포먼스마케팅채용",경력무관,대졸,정규직,0723,2128184558,"3,437","서울 강동구 고덕로23길 37, 1,2,비-1층"
595,595,38409419,데이터분석,서울,강남구,주식회사 아이애드원,온라인광고대행AE신입.경력사원모집,경력무관,고졸,정규직,0904,1018649275,"4,203","서울 강남구 강남대로94길 18, 5층"
596,596,38351141,데이터분석,서울,강동구,(주)도도커뮤니케이션,"광고기획,바이럴,SNS마케팅,퍼포먼스마케팅채용",경력무관,대졸,정규직,0723,2128184558,"3,437","서울 강동구 고덕로23길 37, 1,2,비-1층"
597,597,38414484,데이터분석,서울,금천구,(주)미래아이엔씨,"디지털마케팅운영관리(서울/경력,신입)",경력무관,대졸,정규직,0904,1068193204,None,"서울 금천구 디지털로9길 68, 301호 부터 310호, 1109호 부터 1110호, 1801호 부터 1805호"
598,598,38262896,데이터분석,서울,강남구,㈜인텔리코드,"데이터분석개발정규직모집(신입,경력)",경력무관,대졸,정규직,0804,1428123607,"3,803","경기 수원시 영통구 광교로 105, 705호"
599,599,38251713,데이터분석,서울,관악구,프리윌린,데이터분석가(비즈니스분석가),경력3년,대졸,정규직,채용시,8348600713,"3,669","서울 관악구 관악로 217, 3층"
600,600,38399122,데이터분석,서울,성동구,(주)타파크로스,"소셜빅데이터분석가및마케팅기획,AE모집",경력무관,대졸,정규직,0831,2068630542,"3,653","서울 성동구 성수이로10길 14, 512호"
601,601,38369485,데이터분석,서울,강남구,(주)더원테크,빅데이터분석업무의프로그램개발자모십니다.,경력무관,대졸,정규직기간제,0825,5158150035,None,"경기 성남시 수정구 대왕판교로 815, 8층 837호"
602,602,38215768,데이터분석,서울,영등포구,(주)디에스랩글로벌,데이터분석가/데이터사이언티스트및마케터채용(신입/경력),경력무관,대졸,정규직,0725,4228801717,None,"서울 영등포구 국회대로70길 15-1, R동 510호"
603,603,38223650,데이터분석,서울,강남구,(주)앤서,빅데이터시스템구축및데이터분석엔지니어모집,경력무관,초대졸,정규직,0727,2118843136,"4,742","서울 강남구 삼성로104길 8, 6층"
604,604,38284671,데이터분석,서울,중구,주식회사 성진에이치디에스,최고의복지로함께성장할'데이터분석가'를찾습니다,경력무관,학력무관,정규직,0713,6228600629,"4,185","서울 중구 삼일대로 343, 16층 111호"
605,605,38352904,데이터분석,서울,강남구,(주)어센트코리아,SEO데이터분석(SEO무경력자지원가능)채용,경력2년,대졸,정규직,0723,1048652347,"3,748","서울 강남구 테헤란로2길 8, 5층 5호"
606,606,38193633,데이터분석,서울,강남구,(주)메큐라이크,광고데이터분석가(AdDataAnalyst)신입/경력채용,경력무관,학력무관,정규직,채용시,2118876923,"4,420","서울 강남구 삼성로 511, 16층"
607,607,38175492,데이터분석,서울,영등포구,콴텍(주),"[콴텍,금융]함께성장할금융데이터분석전문가모십니다.",경력3년,초대졸,정규직계약직,0717,1148680501,None,"서울 영등포구 여의대로 14, 14층"
608,608,38365672,데이터분석,서울,성동구,(주)제나,"뇌/맥파데이터분석,머신러닝알고리즘개발경력자모집",경력3년,대졸,정규직,0710,3208800921,"4,502","대구 달서구 성서공단로 46-17, 신기술산업지원센터 1동 모바일융합센터 4층 403호"
609,609,38372962,데이터분석,서울,마포구,데이터핏,빅데이터분석경력사원채용합니다(정규직),경력1년,학력무관,정규직,0728,6402600846,None,"서울 마포구 마포대로4나길 46, 2층 201호 E05"
